1.;030503;Правоведение;среднее профессиональное;51;Юрист;Основная;1 год 10 месяцев
2.;030504;Право и организация социального обеспечения;среднее профессиональное;51;Юрист;Основная;1 год 10 месяцев
3.;030504;Право и организация социального обеспечения;среднее профессиональное;51;Юрист;Основная;2 года 10 месяцев
4.;030912;Право и организация социального обеспечения;среднее профессиональное (базовая подготовка);;Юрист;Основная;1 год 10 месяцев
5,;030912;Право и организация социального обеспечения;среднее профессиональное (базовая подготовка);;Юрист;Основная;2 года 10 месяцев
6.;032002;Документационное обеспечение управления и архивоведение;среднее профессиональное;51;Специалист по докумен-тационному обеспечению управления, архивист;Основная;2 года 10 месяцев
7.;032002;Документационное обеспечение управления и архивоведение;среднее профессиональное;51;Специалист по докумен-тационному обеспечению управления, архивист;Основная;1 год 10 месяцев
8.;034702;Документационное обеспечение управления и архивоведение;среднее профессиональное (базовая подготовка);;Специалист по докумен-тационному обеспечению управления, архивист;Основная;2 года 10 месяцев
9.;034702;Документационное обеспечение управления и архивоведение;среднее профессиональное (базовая подготовка);;Специалист по докумен-тационному обеспечению управления, архивист;Основная;1 год 10 месяцев
10.;060101;Лечебное дело;среднее профессиональное (углубленная подготовка);;Фельдшер;Основная;3 года 10 месяцев
11.;060101;Лечебное дело;среднее профессиональное;52;Фельдшер;Основная;Згода 10 месяцев
12.;060104;Медико-профилактическое дело;среднее профессиональное;51;Санитарный фельдшер;Основная;2 года 10 месяцев
13.;060105;Медико-профилактическое дело;среднее профессиональное (базовая подготовка);;Санитарный фельдшер;Основная;2 года 10 месяцев
14,;060106;Стоматология ортопедическая;среднее профессиональное;51;Зубной техник;Основная;2 года 10 месяцев
15.;060109;Сестринское дело;среднее профессиональное;51;Медицинская сестра;Основная;2 года 10 месяцев
16.;060109;Сестринское дело;среднее профессиональное;51;Медицинская сестра;Основная;3 года 10 месяцев*'
17.;060203;Стоматология ортопедическая;среднее профессиональное (базовая подготовка);;Зубной техник;Основная;2 года 10 месяцев
